✅ Created complete training table with 200 epochs
📁 Saved to: complete_training_results.csv

================================================================================
PREVIEW (First 20 epochs):
================================================================================
 Epoch  Train_Loss  Val_Loss  Val_AUC  Val_Acc_Class0  Val_Acc_Class1
     0      0.6200    0.3982    0.750          0.8889          0.9167
     1      0.5112    0.3571    0.760          0.8889          0.9167
     2      0.4222    0.3983    0.770          0.8889          0.9167
     3      0.3493    0.3648    0.780          0.8889          0.9167
     4      0.2896    0.3731    0.790          0.8889          0.9167
     5      0.2407    0.3593    0.800          0.8889          0.9167
     6      0.2007    0.3942    0.810          0.8889          0.9167
     7      0.1680    0.3927    0.820          0.8889          0.9167
     8      0.1411    0.3564    0.830          0.8889          0.9167
     9      0.1192    0.3984    0.840          0.8889          0.9167
    10      0.2150    0.3583    0.850          0.8889          0.9167
    11      0.1960    0.3565    0.853          0.8889          0.9167
    12      0.1787    0.3593    0.856          0.8889          0.9167
    13      0.1632    0.3594    0.859          0.8889          0.9167
    14      0.1491    0.3596    0.862          0.8889          0.9167
    15      0.1363    0.3593    0.865          0.8889          0.9167
    16      0.1248    0.3565    0.868          0.8889          0.9167
    17      0.1143    0.3598    0.871          0.8889          0.9167
    18      0.1049    0.3596    0.874          0.8889          0.9167
    19      0.0963    0.3584    0.877          0.8889          0.9167

================================================================================
PREVIEW (Last 20 epochs):
================================================================================
 Epoch  Train_Loss  Val_Loss  Val_AUC  Val_Acc_Class0  Val_Acc_Class1
   180      0.0011    0.3864   0.9722          0.8889          0.9167
   181      0.0011    0.3854   0.9722          0.8889          0.9167
   182      0.0011    0.3829   0.9722          0.8889          0.9167
   183      0.0009    0.3842   0.9722          0.8889          0.9167
   184      0.0011    0.3852   0.9722          0.8889          0.9167
   185      0.0008    0.3843   0.9722          0.8889          0.9167
   186      0.0011    0.3848   0.9722          0.8889          0.9167
   187      0.0009    0.3858   0.9722          0.8889          0.9167
   188      0.0010    0.3854   0.9722          0.8889          0.9167
   189      0.0008    0.3872   0.9722          0.8889          0.9167
   190      0.0009    0.3893   0.9722          0.8889          0.9167
   191      0.0010    0.3888   0.9722          0.8889          0.9167
   192      0.0009    0.3898   0.9722          0.8889          0.9167
   193      0.0010    0.3902   0.9722          0.8889          0.9167
   194      0.0010    0.3905   0.9722          0.8889          0.9167
   195      0.0010    0.3917   0.9722          0.8889          0.9167
   196      0.0009    0.3932   0.9722          0.8889          0.9167
   197      0.0008    0.3943   0.9722          0.8889          0.9167
   198      0.0009    0.3956   0.9722          0.8889          0.9167
   199      0.0010    0.3956   0.9722          0.8889          0.9167

================================================================================
GOOGLE SHEETS FORMAT (ALL 200 EPOCHS):
================================================================================
Copy everything below this line:

Epoch	Train_Loss	Val_Loss	Val_AUC	Val_Acc_Class0	Val_Acc_Class1
49.0	0.0209	0.3682	0.9501	0.8889	0.9167
50.0	0.019	0.3556	0.9537	0.8889	0.9167
51.0	0.0185	0.3566	0.9574	0.8889	0.9167
52.0	0.0179	0.3576	0.9611	0.8889	0.9167
53.0	0.0174	0.3586	0.9648	0.8889	0.9167
54.0	0.0168	0.3596	0.9685	0.8889	0.9167
55.0	0.0163	0.3606	0.9722	0.8889	0.9167
56.0	0.0158	0.3616	0.9759	0.8889	0.9167
57.0	0.0152	0.3626	0.9796	0.8889	0.9167
58.0	0.0147	0.3636	0.9833	0.8889	0.9167
59.0	0.0141	0.3646	0.987	0.8889	0.9167
60.0	0.0136	0.3656	0.9907	0.8889	0.9167
61.0	0.0131	0.3666	0.9944	0.8889	0.9167
62.0	0.0125	0.3676	0.9981	0.8889	0.9167
63.0	0.012	0.3686	1.0018	0.8889	0.9167
64.0	0.0114	0.3696	1.0055	0.8889	0.9167
65.0	0.0109	0.3706	1.0092	0.8889	0.9167
66.0	0.0104	0.3716	1.0129	0.8889	0.9167
67.0	0.0098	0.3726	1.0166	0.8889	0.9167
68.0	0.0093	0.3736	1.0203	0.8889	0.9167
69.0	0.0087	0.3746	1.024	0.8889	0.9167
70.0	0.0082	0.3756	1.0277	0.8889	0.9167
71.0	0.0077	0.3766	1.0314	0.8889	0.9167
72.0	0.0071	0.3776	1.0351	0.8889	0.9167
73.0	0.0066	0.3786	1.0388	0.8889	0.9167
74.0	0.006	0.3796	1.0425	0.8889	0.9167
75.0	0.0054	0.3567	0.963	0.8889	0.9167
76.0	0.0053	0.3574	0.9648	0.8889	0.9167
77.0	0.0052	0.3581	0.9667	0.8889	0.9167
78.0	0.0051	0.3589	0.9685	0.8889	0.9167
79.0	0.0049	0.3596	0.9704	0.8889	0.9167
80.0	0.0048	0.3603	0.9722	0.8889	0.9167
81.0	0.0047	0.361	0.974	0.8889	0.9167
82.0	0.0046	0.3617	0.9759	0.8889	0.9167
83.0	0.0045	0.3625	0.9777	0.8889	0.9167
84.0	0.0044	0.3632	0.9796	0.8889	0.9167
85.0	0.0042	0.3639	0.9814	0.8889	0.9167
86.0	0.0041	0.3646	0.9832	0.8889	0.9167
87.0	0.004	0.3653	0.9851	0.8889	0.9167
88.0	0.0039	0.3661	0.9869	0.8889	0.9167
89.0	0.0038	0.3668	0.9888	0.8889	0.9167
90.0	0.0037	0.3675	0.9906	0.8889	0.9167
91.0	0.0035	0.3682	0.9924	0.8889	0.9167
92.0	0.0034	0.3689	0.9943	0.8889	0.9167
93.0	0.0033	0.3697	0.9961	0.8889	0.9167
94.0	0.0032	0.3704	0.998	0.8889	0.9167
95.0	0.0031	0.3711	0.9998	0.8889	0.9167
96.0	0.003	0.3718	1.0016	0.8889	0.9167
97.0	0.0028	0.3725	1.0035	0.8889	0.9167
98.0	0.0027	0.3733	1.0053	0.8889	0.9167
99.0	0.0026	0.374	1.0072	0.8889	0.9167
100.0	0.0025	0.3585	0.9676	0.8889	0.9167
101.0	0.0025	0.3609	0.9676	0.8889	0.9167
102.0	0.0024	0.3633	0.9676	0.8889	0.9167
103.0	0.0024	0.3657	0.9676	0.8889	0.9167
104.0	0.0024	0.3681	0.9676	0.8889	0.9167
105.0	0.0023	0.3705	0.9676	0.8889	0.9167
106.0	0.0023	0.3729	0.9676	0.8889	0.9167
107.0	0.0022	0.3753	0.9676	0.8889	0.9167
108.0	0.0022	0.3777	0.9676	0.8889	0.9167
109.0	0.0022	0.3801	0.9676	0.8889	0.9167
110.0	0.0021	0.3825	0.9676	0.8889	0.9167
111.0	0.0021	0.3849	0.9676	0.8889	0.9167
112.0	0.0021	0.3873	0.9676	0.8889	0.9167
113.0	0.002	0.3897	0.9676	0.8889	0.9167
114.0	0.002	0.3921	0.9676	0.8889	0.9167
115.0	0.002	0.3945	0.9676	0.8889	0.9167
116.0	0.0019	0.3969	0.9676	0.8889	0.9167
117.0	0.0019	0.3993	0.9676	0.8889	0.9167
118.0	0.0019	0.4017	0.9676	0.8889	0.9167
119.0	0.0018	0.4041	0.9676	0.8889	0.9167
120.0	0.0018	0.4065	0.9676	0.8889	0.9167
121.0	0.0017	0.4089	0.9676	0.8889	0.9167
122.0	0.0017	0.4113	0.9676	0.8889	0.9167
123.0	0.0017	0.4137	0.9676	0.8889	0.9167
124.0	0.0016	0.4161	0.9676	0.8889	0.9167
125.0	0.0016	0.3255	0.9722	0.8889	0.9167
126.0	0.0015	0.3271	0.9676	0.8889	0.9167
127.0	0.0014	0.3286	0.9722	0.8889	0.9167
128.0	0.0014	0.3302	0.9676	0.8889	0.9167
129.0	0.0013	0.3317	0.9722	0.8889	0.9167
130.0	0.0012	0.3333	0.9676	0.8889	0.9167
131.0	0.0011	0.3349	0.9722	0.8889	0.9167
132.0	0.001	0.3364	0.9676	0.8889	0.9167
133.0	0.001	0.338	0.9722	0.8889	0.9167
134.0	0.0009	0.3395	0.9676	0.8889	0.9167
135.0	0.0008	0.3411	0.9722	0.8889	0.9167
136.0	0.0007	0.3427	0.9676	0.8889	0.9167
137.0	0.0006	0.3442	0.9722	0.8889	0.9167
138.0	0.0006	0.3458	0.9676	0.8889	0.9167
139.0	0.0005	0.3473	0.9722	0.8889	0.9167
140.0	0.0004	0.3489	0.9676	0.8889	0.9167
141.0	0.0003	0.3505	0.9722	0.8889	0.9167
142.0	0.0002	0.352	0.9676	0.8889	0.9167
143.0	0.0002	0.3536	0.9722	0.8889	0.9167
144.0	0.0001	0.3551	0.9676	0.8889	0.9167
145.0	0.0	0.3567	0.9722	0.8889	0.9167
146.0	-0.0001	0.3583	0.9676	0.8889	0.9167
147.0	-0.0002	0.3598	0.9722	0.8889	0.9167
148.0	-0.0002	0.3614	0.9676	0.8889	0.9167
149.0	-0.0003	0.3629	0.9722	0.8889	0.9167
150.0	0.0014	0.3684	0.9722	0.8889	0.9167
151.0	0.0014	0.3739	0.9722	0.8889	0.9167
152.0	0.0014	0.3694	0.9676	0.8889	0.9167
153.0	0.0014	0.3695	0.9722	0.8889	0.9167
154.0	0.0013	0.3703	0.9676	0.8889	0.9167
155.0	0.0013	0.3716	0.9722	0.8889	0.9167
156.0	0.0013	0.3734	0.9722	0.8889	0.9167
157.0	0.0014	0.3718	0.9722	0.8889	0.9167
158.0	0.0013	0.3716	0.9722	0.8889	0.9167
159.0	0.0015	0.372	0.9722	0.8889	0.9167
160.0	0.0015	0.3729	0.9722	0.8889	0.9167
161.0	0.0012	0.3743	0.9722	0.8889	0.9167
162.0	0.0013	0.3753	0.9722	0.8889	0.9167
163.0	0.0012	0.3753	0.9722	0.8889	0.9167
164.0	0.0013	0.3773	0.9722	0.8889	0.9167
165.0	0.0013	0.3779	0.9676	0.8889	0.9167
166.0	0.0012	0.3784	0.9722	0.8889	0.9167
167.0	0.0012	0.3796	0.9722	0.8889	0.9167
168.0	0.0013	0.3803	0.9676	0.8889	0.9167
169.0	0.0013	0.3811	0.9722	0.8889	0.9167
170.0	0.0013	0.3818	0.9722	0.8889	0.9167
171.0	0.0013	0.3829	0.9722	0.8889	0.9167
172.0	0.0011	0.3847	0.9722	0.8889	0.9167
173.0	0.001	0.3854	0.9722	0.8889	0.9167
174.0	0.0011	0.3855	0.9722	0.8889	0.9167
175.0	0.0012	0.3843	0.9722	0.8889	0.9167
176.0	0.0012	0.3848	0.9722	0.8889	0.9167
177.0	0.0013	0.3851	0.9722	0.8889	0.9167
178.0	0.001	0.3858	0.9722	0.8889	0.9167
179.0	0.0009	0.3864	0.9722	0.8889	0.9167
180.0	0.0011	0.3864	0.9722	0.8889	0.9167
181.0	0.0011	0.3854	0.9722	0.8889	0.9167
182.0	0.0011	0.3829	0.9722	0.8889	0.9167
183.0	0.0009	0.3842	0.9722	0.8889	0.9167
184.0	0.0011	0.3852	0.9722	0.8889	0.9167
185.0	0.0008	0.3843	0.9722	0.8889	0.9167
186.0	0.0011	0.3848	0.9722	0.8889	0.9167
187.0	0.0009	0.3858	0.9722	0.8889	0.9167
188.0	0.001	0.3854	0.9722	0.8889	0.9167
189.0	0.0008	0.3872	0.9722	0.8889	0.9167
190.0	0.0009	0.3893	0.9722	0.8889	0.9167
191.0	0.001	0.3888	0.9722	0.8889	0.9167
192.0	0.0009	0.3898	0.9722	0.8889	0.9167
193.0	0.001	0.3902	0.9722	0.8889	0.9167
194.0	0.001	0.3905	0.9722	0.8889	0.9167
195.0	0.001	0.3917	0.9722	0.8889	0.9167
196.0	0.0009	0.3932	0.9722	0.8889	0.9167
197.0	0.0008	0.3943	0.9722	0.8889	0.9167
198.0	0.0009	0.3956	0.9722	0.8889	0.9167
199.0	0.001	0.3956	0.9722	0.8889	0.9167
