Epoch	Train_Acc	Train_C0	Train_C1	Train_C2	Val_Acc	Val_C0	Val_C1	Val_C2
30	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
31	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
32	1.0000	1.0000	1.0000	1.0000	0.7333	0.4000	0.8000	1.0000
33	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
34	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
35	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
36	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
37	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
38	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
39	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
40	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
41	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
42	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
43	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
44	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
45	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
46	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
47	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
48	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
49	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
50	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
51	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
52	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
53	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
54	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
55	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
56	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
57	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
58	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
59	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
60	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
61	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
62	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
63	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
64	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
65	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
66	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
67	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
68	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
69	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000
70	1.0000	1.0000	1.0000	1.0000	0.8000	0.6000	0.8000	1.0000

✅ Extracted 71 epochs
