train,val,test
train_slide_0125,,
train_slide_0191,,
train_slide_0097,,
train_slide_0235,,
train_slide_0178,,
train_slide_0256,,
train_slide_0198,,
train_slide_0024,,
train_slide_0067,,
train_slide_0173,,
train_slide_0249,,
train_slide_0157,,
train_slide_0186,,
train_slide_0193,,
train_slide_0009,,
train_slide_0078,,
train_slide_0105,,
train_slide_0234,,
train_slide_0082,,
train_slide_0141,,
train_slide_0211,,
train_slide_0016,,
train_slide_0203,,
train_slide_0008,,
train_slide_0041,,
train_slide_0267,,
train_slide_0045,,
train_slide_0080,,
train_slide_0119,,
train_slide_0155,,
train_slide_0127,,
train_slide_0100,,
train_slide_0139,,
train_slide_0199,,
train_slide_0146,,
train_slide_0053,,
train_slide_0236,,
train_slide_0195,,
train_slide_0112,,
train_slide_0165,,
train_slide_0022,,
train_slide_0081,,
train_slide_0244,,
train_slide_0230,,
train_slide_0166,,
train_slide_0210,,
train_slide_0262,,
train_slide_0025,,
train_slide_0028,,
train_slide_0205,,
train_slide_0161,,
train_slide_0073,,
train_slide_0222,,
train_slide_0153,,
train_slide_0152,,
train_slide_0048,,
train_slide_0128,,
train_slide_0223,,
train_slide_0253,,
train_slide_0032,,
train_slide_0068,,
train_slide_0052,,
train_slide_0079,,
train_slide_0034,,
train_slide_0037,,
train_slide_0168,,
train_slide_0158,,
train_slide_0051,,
train_slide_0099,,
train_slide_0132,,
train_slide_0261,,
train_slide_0056,,
train_slide_0185,,
train_slide_0241,,
train_slide_0071,,
train_slide_0007,,
train_slide_0072,,
train_slide_0000,,
train_slide_0087,,
train_slide_0002,,
train_slide_0084,,
train_slide_0252,,
train_slide_0180,,
train_slide_0116,,
train_slide_0063,,
train_slide_0233,,
train_slide_0065,,
train_slide_0115,,
train_slide_0038,,
train_slide_0220,,
train_slide_0264,,
train_slide_0190,,
train_slide_0107,,
train_slide_0047,,
train_slide_0054,,
train_slide_0201,,
train_slide_0150,,
train_slide_0254,,
train_slide_0076,,
train_slide_0075,,
train_slide_0123,,
train_slide_0179,,
train_slide_0012,,
train_slide_0030,,
train_slide_0164,,
train_slide_0018,,
